Time,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
1,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
2,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
3,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
4,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
5,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.04,-0.005,-0.035,-0.035,-0.075
6,-0.115,-0.05,0.065,0.082,-0.09,0.007,-0.065,-0.036,-0.005,-0.031,-0.035,-0.075
7,-0.117,-0.051,0.066,0.083,-0.092,0.007,-0.062,-0.035,-0.005,-0.03,-0.032,-0.072
8,-0.109,-0.048,0.061,0.078,-0.085,0.006,-0.059,-0.035,-0.005,-0.03,-0.029,-0.069
9,-0.108,-0.045,0.064,0.076,-0.086,0.009,-0.06,-0.035,-0.006,-0.03,-0.03,-0.07
10,-0.13,-0.045,0.085,0.087,-0.107,0.02,-0.06,-0.035,-0.01,-0.03,-0.03,-0.07
11,-0.127,-0.045,0.082,0.086,-0.104,0.018,-0.056,-0.035,-0.01,-0.026,-0.03,-0.07
12,-0.121,-0.042,0.079,0.081,-0.1,0.018,-0.054,-0.036,-0.009,-0.025,-0.027,-0.067
13,-0.12,-0.039,0.08,0.079,-0.1,0.021,-0.056,-0.033,-0.012,-0.025,-0.024,-0.064
14,-0.12,-0.04,0.08,0.08,-0.1,0.02,-0.054,-0.03,-0.015,-0.025,-0.025,-0.065
15,-0.12,-0.04,0.08,0.08,-0.1,0.02,-0.05,-0.03,-0.015,-0.025,-0.025,-0.065
16,-0.112,-0.036,0.076,0.073,-0.093,0.02,-0.05,-0.03,-0.015,-0.025,-0.021,-0.065
